Timestamp (ms),Oxygen %
2079352, 20.80
2080502, 20.80
2081652, 20.80
2082802, 20.80
2083952, 20.80
2085102, 20.80
2086252, 20.80
2087402, 20.80
2088552, 20.80
2089702, 20.80
2090852, 20.80
2092002, 20.80
2093152, 20.80
2094302, 20.80
2095452, 20.80
2096602, 20.80
2097752, 20.80
2098902, 20.80
2100052, 20.80
2101202, 20.80
2102352, 20.80
2103502, 20.80
2104652, 20.80
2105802, 20.80
2106952, 20.80
2108102, 20.80
2109252, 20.80
2110402, 20.80
2111552, 20.80
2112702, 20.80
2113852, 20.80
2115002, 20.80
2116152, 20.80
2117302, 20.80
2118452, 20.80
2119602, 20.80
2120752, 20.80
2121902, 20.80
2123052, 20.80
2124202, 20.80
2125352, 20.80
2126502, 20.80
2127652, 20.80
2128802, 20.80
2129952, 20.80
2131102, 20.80
2132252, 20.80
2133402, 20.80
2134552, 20.80
2135702, 20.80
2136852, 20.80
2138002, 20.80
2139152, 20.80
2140302, 20.80
2141452, 20.80
2142602, 20.80
2143752, 20.80
2144902, 20.80
2146052, 20.80
2147202, 20.80
2148352, 20.80
2149502, 20.80
2150652, 20.80
2151802, 20.80
2152952, 20.80
2154102, 20.80
2155252, 20.80
2156402, 20.80
2157552, 20.80
2158702, 20.80
2159852, 20.80
2161002, 20.80
2162152, 20.80
2163302, 20.80
2164452, 20.80
2165602, 20.80
2166752, 20.80
2167902, 20.80
2169052, 20.80
2170202, 20.80
2171352, 20.80
2172502, 20.80
2173652, 20.80
2174802, 20.80
2175952, 20.80
2177102, 20.80
2178252, 20.80
2179402, 20.80
2180552, 20.80
2181702, 20.80
2182852, 20.80
2184002, 20.80
2185152, 20.80
2186302, 20.80
2187452, 20.80
2188602, 20.80
2189752, 20.80
2190902, 20.80
2192052, 20.80
2193202, 20.80
2194352, 20.80
2195502, 20.80
2196652, 20.80
2197802, 20.80
2198952, 20.80
2200102, 20.80
2201252, 20.80
2202402, 20.80
2203552, 20.80
2204702, 20.80
2205852, 20.80
2207002, 20.80
2208152, 20.80
2209302, 20.80
2210452, 20.80
2211602, 20.80
2212752, 20.80
2213902, 20.80
2215052, 20.80
2216202, 20.80
2217352, 20.80
2218502, 20.80
2219652, 20.80
2220802, 20.80
2221952, 20.80
2223102, 20.80
2224252, 20.80
2225402, 20.80
2226552, 20.80
2227702, 20.80
2228852, 20.80
2230002, 20.80
2231152, 20.80
2232302, 20.80
2233452, 20.80
2234602, 20.80
2235752, 20.80
2236902, 20.81
2238052, 20.81
2239202, 20.81
2240352, 20.81
2241502, 20.81
2242652, 20.81
2243802, 20.81
2244952, 20.81
2246102, 20.81
2247252, 20.81
2248402, 20.80
2249552, 20.80
2250702, 20.80
2251852, 20.80
2253002, 20.80
2254152, 20.80
2255302, 20.80
2256452, 20.80
2257602, 20.80
2258752, 20.80
2259902, 20.80
2261052, 20.80
2262202, 20.80
2263352, 20.80
2264502, 20.80
2265652, 20.80
2266802, 20.80
2267952, 20.80
2269102, 20.80
2270252, 20.80
2271402, 20.80
2272552, 20.80
2273702, 20.80
2274852, 20.80
2276002, 20.80
2277152, 20.80
2278302, 20.80
2279452, 20.80
2280602, 20.80
2281752, 20.80
2282902, 20.80
2284052, 20.80
2285202, 20.80
2286352, 20.80
2287502, 20.80
2288652, 20.80
2289802, 20.80
2290952, 20.80
2292102, 20.80
2293252, 20.80
2294402, 20.80
2295552, 20.80
2296702, 20.80
2297852, 20.80
2299002, 20.80
2300152, 20.80
2301302, 20.80
2302452, 20.80
2303602, 20.80
2304752, 20.80
2305902, 20.80
2307052, 20.80
2308202, 20.80
2309352, 20.80
2310502, 20.80
2311652, 20.80
2312802, 20.80
2313952, 20.80
2315102, 20.80
2316252, 20.80
2317402, 20.80
2318552, 20.80
2319702, 20.80
2320852, 20.80
2322002, 20.80
2323152, 20.80
2324302, 20.80
2325452, 20.80
2326602, 20.80
2327752, 20.80
2328902, 20.80
2330052, 20.80
2331202, 20.80
